Datum,Kategorie,Name,Studierendenpreis,Preis andere,Nutriscore,Krokette
2024-04-15,Eintopf,Lauchrahmtopf mit Kartoffelwürfeln und Suppengemüse,"1,62 €","3,16 €",A,0
2024-04-15,Essen 1,"Kartoffelnudeln mit Kraut, Paprikastreifen und Speck","1,94 €","3,78 €",A,0
2024-04-15,Essen 2,Gebratene Hähnchenbrust mit Paprikarahmsoße,"2,56 €","4,99 €",A,0
2024-04-15,Vegan,Frische Kartoffelknödel mit Champignons in Sojarahm,"2,56 €","4,99 €",A,0
2024-04-15,Wok-/Grill,"Lahmacun, türkische Pizza mit frischen Salaten, Hähnchenstreifen und Joghurt","4,48 €","6,35 €",B,0
2024-04-15,Beilage 1,Kroketten,"0,62 €","1,21 €",C,1
2024-04-15,Beilage 2,Reis,"0,46 €","0,90 €",A,0
2024-04-15,Beilage 3,Nudeln,"0,40 €","0,78 €",A,0
2024-04-15,Dessert 1,Pfirsichjoghurt,"0,52 €","1,01 €",C,0
2024-04-15,Dessert Gläser,Dessert im Glas,"1,60 €","1,60 €",C,0
2024-04-15,Gemüse 1,Karottenscheiben,"0,34 €","0,66 €",A,0
2024-04-15,Gemüse 2,Erbsen,"0,48 €","0,94 €",A,0
2024-04-15,Salat,Kleine Salatschale,"0,60 €","1,17 €",C,0
2024-04-15,Suppe,Kohlrabicremesuppe,"0,50 €","0,98 €",A,0
2024-04-16,Eintopf,Süßkartoffel-Tomaten-Eintopf,"1,70 €","3,32 €",A,0
2024-04-16,Essen 1,Fleischbällchen mit Paprika-Zwiebeln-Erbsengemüse und Ajvar,"2,52 €","4,91 €",A,0
2024-04-16,Essen 2,Gebratenes Rotbarschfilet mit Lauchrahmsoße,"2,56 €","4,99 €",B,0
2024-04-16,Vegan,Jackfruit-Ragout mit frischen Wiesenchampignons,"1,66 €","3,24 €",A,0
2024-04-16,Wok-/Grill,"""Pimp Your Burger"" - Rindfleischpatty mit Salat, unserer Haussoße, Pommes frites und Toppings nach Wahl","6,04 €","7,91 €",D,0
2024-04-16,Beilage 1,Nudeln,"0,40 €","0,78 €",A,0
2024-04-16,Beilage 2,Kartoffeln,"0,44 €","0,86 €",A,0
2024-04-16,Dessert 1,Milchreis mit Zimt und Zucker,"0,72 €","1,40 €",C,0
2024-04-16,Dessert 2,Pfirsichjoghurt,"0,52 €","1,01 €",C,0
2024-04-16,Dessert Gläser,Dessert im Glas,"1,60 €","1,60 €",C,0
2024-04-16,Gemüse 1,Romanobohnen,"0,52 €","1,01 €",A,0
2024-04-16,Gemüse 2,Blattspinat in Sojarahm,"0,60 €","1,17 €",A,0
2024-04-16,Salat,Kleine Salatschale,"0,60 €","1,17 €",C,0
2024-04-16,Suppe,Tomatensuppe,"0,40 €","0,78 €",A,0
2024-04-17,Eintopf,Unser Bestseller: Ungarische Gulaschsuppe,"3,16 €","6,16 €",A,0
2024-04-17,Essen 1,Nudel- Gemüseauflauf auf Tomatensugo,"2,22 €","4,33 €",A,0
2024-04-17,Essen 2,Knusprig gebratener Schweinebauch mit Zwiebel-Apfelragout,"2,30 €","4,49 €",D,0
2024-04-17,Vegan,"Kichererbsencurry mit Spinat, Blumenkohl, Wurzelgemüse und Reis","1,88 €","3,67 €",A,0
2024-04-17,Wok-/Grill,"""Gong Bao Chicken"" - Traditionelles chinesisches Wok-Gericht aus der Szechuan-Küche mit Reis","3,72 €","5,59 €",A,0
2024-04-17,Beilage 1,Schwenkkartoffeln,"0,64 €","1,25 €",B,0
2024-04-17,Beilage 2,Reis,"0,46 €","0,90 €",A,0
2024-04-17,Dessert 1,Vanillepudding,"0,60 €","1,17 €",C,0
2024-04-17,Dessert 2,Milchreis mit Zimt und Zucker,"0,72 €","1,40 €",C,0
2024-04-17,Dessert Gläser,Dessert im Glas,"1,60 €","1,60 €",C,0
2024-04-17,Gemüse 1,Leipziger Allerlei,"0,58 €","1,13 €",A,0
2024-04-17,Gemüse 2,Brokkoli,"0,76 €","1,48 €",A,0
2024-04-17,Salat,Kleine Salatschale,"0,60 €","1,17 €",C,0
2024-04-17,Suppe,Pürierte Erbsensuppe,"0,56 €","1,09 €",A,0
2024-04-18,Eintopf,Erbseneintopf,"1,72 €","3,35 €",A,0
2024-04-18,Essen 1,Schwenkkartoffelpfanne mit Gemüse und Kräuter-Quark,"1,74 €","3,39 €",A,0
2024-04-18,Essen 2,"""Jägergulasch"" - Schweinegulasch mit Speck und Champignons in Weißwein-Sahnesoße","2,52 €","4,91 €",B,0
2024-04-18,Vegan,"Veggie-Gyros ""Akropolis"" mit Zaziki","1,62 €","3,16 €",A,0
2024-04-18,Wok-/Grill,"Hausgemachte Lasagne al forno, Rindfleisch mit Wurzelgemüse, Tomatensoße und Salat","3,69 €","5,56 €",B,0
2024-04-18,Beilage 1,Pommes frites,"0,60 €","1,17 €",B,0
2024-04-18,Beilage 2,Nudeln mit Gemüse,"0,52 €","1,01 €",A,0
2024-04-18,Dessert 1,Erdbeercremejoghurt,"0,46 €","0,90 €",B,0
2024-04-18,Dessert 2,Vanillepudding,"0,60 €","1,17 €",C,0
2024-04-18,Dessert Gläser,Dessert im Glas,"1,60 €","1,60 €",C,0
2024-04-18,Gemüse 1,Balkangemüse,"0,46 €","0,90 €",A,0
2024-04-18,Gemüse 2,Blumenkohl,"0,44 €","0,86 €",A,0
2024-04-18,Salat,Kleine Salatschale,"0,60 €","1,17 €",C,0
